番号,判定,総プレイ時間(時間),レビュー本文,AI感情判定(Ollama),具体的な要因,要因の分類,AIによる分析理由
81,おすすめしない,169,"このゲームデッキナイトメアしかないんで面白くないです 　ティア１,2以外のデッキは相手が上振れてないのを願いつつこっちが上振れひかないと勝てません　運のいい人にぜひおすすめ 運げすぎたー　マリガンで同じカードが3枚も来ました　そのあとまた同じカードが２枚着ました　いじめられてます　あといろんなカードがあるのにそれを使わせないゲームです。人によってデッキの構成を変えられて自分らしさを出せるのがカードゲームのいいとこなのにカードパワー的にほぼ入れるカード固定化されます　カードゲームらしさがないカードゲームです。",negative,運要素,ゲームシステム,運に左右されやすく、デッキ構築の自由度が低い点が不満として挙げられているため。
82,おすすめしない,122,ゲーム性は無い,negative,ゲーム性,ゲームシステム,「ゲーム性は無い」と明言されているため。
83,おすすめ,193,たのしい！！,positive,たのしい,その他,「たのしい」という表現から、ゲームに対する肯定的な感情が読み取れるため。
84,おすすめしない,99,"パックを重ねるごとにつまらなくなる神ゲー
まだデュエマだのポケポケだのやってるほうが駆け引きはあると思う。

多分プロ監修なのは競技性の部分だけですね。前作のようにこのカード使ってこのカードの効果をぶん回して～みたいなカード同士のシナジーが全くない。つまり、対戦相手とのデッキ相性やカード相性が明確に決まっているので、こんなことをしたら強いんじゃないかみたいな「自分でデッキを考える楽しさ」はほぼ皆無といっていい。そんなデッキ使っても基本負けるから（実際自分も負けまくった。）
基本的にバトル中の駆け引きっぽく行われるのは、盤面を作るか、とられにくいカード（スタッツとか威圧などの効果）を置いて「これ取れます？」という圧力をかけるだけ。基本的にやりたいことやったもん勝ちで自分の手札だけ見てればいいゲーム感が強い。その行動を阻害するための妨害や罠みたいなカードがほとんどなく、多分コストアップさせるフィルレインのトークンカードぐらいなもの。
その結果、ほかのコメントでも言われるように、メンコだのじゃんけんだの言われる状態になっている。
毎週運営にカードのアッパーやナーフなど希望を出しているが、相当環境やコミュニティが荒れない限り、月末に調整が入るだけなので、苦痛な環境を最低1か月は耐え抜かなくてはいけない。そしてそのナーフも大胆なものではないので、すぐ改良版構築が作られ、特定のクラスとしかマッチしないか、何一つ実力関係のない不快な環境第2弾が始まる。

つまるところ、毎日のミッションだけやるぐらいでちょうどいいと思う。
最近僕は、他のゲームをやりながら適当にランクマを回してミッションを終わらせてます。
それでもミッション全部終わるまで1時間ぐらいかかるときもある。
今のところ一番楽しいコンテンツはソロでやるバトルダンジョンかな。

最近格ゲーマーを使って、裾野を広げるイベントなどをやっているようだが、肝心のゲーム体験が悪いので、新規プレイヤー獲得は難しいのではないかと思う。システム的な話をするなら、完全無課金（バトルパスもウェルカムパックみたいなやつも買わない）場合、今から新しく始めるなら、大体1か月ぐらいはかかると思う。前作に比べてカードパックの配布量が減り、1日に剥けるパックは多くて2パックしかないから。

総評：マジで時間の無駄。2026年のクソゲーオブザイヤー大賞です。

追記（6/7）：おいおい,,,,1周年カウントダウンミッションの報酬もケチすぎでしょ。
　　　　　　もっとパックとかルピばらまかないと新規獲得できないよ！！
　　　　　　もしかして1周年祝う気ないのか？
追記（6/11）：いつも思うけど、プロ監修っていうんだったら、カードデザインや
　　　　　　　デッキコンセプト、どのカードとの有利不利を考えているかを説明しろよ。
　　　　　　　どんな会社でも自分の商品売るとき、機能とかいろいろ説明するじゃん。

A game that gets more boring with every booster pack.
I think games like Duel Masters or Pokémon are still more strategic.

I suspect the only part supervised by pros is the competitive aspect. Unlike the previous game, there’s absolutely no synergy between cards—no “use this card to trigger that card’s effect” kind of thing. In other words, since deck and card matchups against opponents are clearly predetermined, the “joy of building your own deck” by thinking, “Maybe doing this would be strong,” is practically nonexistent. You’ll basically lose if you use a deck like that anyway (and honestly, I lost a ton myself).
Basically, the only “strategy” during a battle is either building up your board or playing cards that are hard to take (like those with high stats or Intimidation effects) to apply pressure by asking, “Can you take this?” It feels like a game where whoever does what they want wins, and you basically just need to look at your own hand. There are almost no cards like traps or hindrances to stop those actions—probably just the Filrain token card that increases costs.
As a result, as mentioned in other comments, the game has devolved into a state where people call it “menko” or “rock-paper-scissors.”
I submit requests to the devs every week for card buffs or nerfs, but unless the meta or community gets really chaotic, adjustments only come at the end of the month, so I have to endure this painful meta for at least a month. And since those nerfs aren’t bold enough, improved deck builds are created immediately, and a second round of this unpleasant meta—where you can only match up against specific classes—begins.

In short, I think it’s best to just stick to doing the daily missions.
Even so, it can sometimes take about an hour to finish all the missions.
Right now, the most enjoyable content is the solo Battle Dungeon.

It seems they’ve been running events recently to expand the player base by featuring fighting game players, but since the core gameplay experience is poor, I doubt they’ll be able to attract many new players. Speaking in terms of the system, if you’re a completely free-to-play player (not buying Battle Passes or Welcome Packs), I think it would take about a month to get up to speed if you were starting fresh right now. Compared to the previous game, the number of card packs distributed has decreased, and you can only open a maximum of two packs per day.

Overall: It’s a total waste of time.

Update (6/7): Come on... the rewards for the 1st Anniversary Mission are way too stingy.
　　　　　　You won't attract new players unless you hand out more packs and Lupis!!
　　　　　　Are you even planning to celebrate the 1st anniversary?
Update (6/11): I always think this, but if you’re claiming to have “professional supervision,” 
　　　　　　  then explain the card designs, deck concepts, and how the cards’ strengths 
                        and weaknesses stack up against each other.
　　　　　　　Any company selling a product explains its features and all that, right?",negative,ゲーム体験の悪さ,演出・グラフィック,レビューでは、カード間のシナジーがない、駆け引きが少なく、メンコのような単純なゲームだと述べている。
85,おすすめしない,29,"他のカードゲームにはない良さはいくつもあります
ただカードゲームとしての良さはほぼありません
２ピックはDTCGの花形みたいに自分は認識しているんですが、各クラスで強弱がありすぎて、なんとその結果カードプールの調整や、以降の新パックの調整ではなく、弱いクラスのピック試行回数を増やすというパワープレイ！嫌いです、あとマッチングもしません
構築戦は皆さんご存じの通り課金しない限り組めません。
なので、考えてみたらTCGも最初デッキ買うしな・・・と思った人は課金してあげるとサイゲが喜びます",negative,マッチング,ゲームシステム,マッチングが悪いと述べているため。
86,おすすめ,63,ずっとやってれば好きなデッキ作れると思うよ,positive,デッキ作成,ゲームシステム,プレイヤーが好きなデッキを作れるという点が好印象であるため。
87,おすすめしない,188,最適解のムーブをし続けても相手の上振れには勝てない。ただの運ゲー。上に行けば行くほど運ゲー,negative,運ゲー,ゲームシステム,ゲームの勝敗が運に左右されるため、作者は不満を抱いている。
88,おすすめ,1127,何もやるゲームがない時オススメ,neutral,ボリューム不足,ボリューム・価格,暇つぶしとしておすすめする程度なので、ボリュームが足りないことを示唆しているため。
89,おすすめしない,20,TCGというよりメンコやらされてる感が強いです。演出や進化によるイラスト差分といった点は優れていますがゲーム性があまり感じられないと思いました。あと煽りエモートはいらないです,negative,ゲーム性,ゲームシステム,ゲーム性が感じられないと感じているため。
90,おすすめしない,259,デッキが完成しないうちはぼこぼこにされます。今から始めてもとデッキの完成までに時間かかります,negative,ボリューム不足,ボリューム・価格,ゲーム開始からデッキ完成まで時間がかかるため、ボリュームが不足していると感じている。
91,おすすめ,114,iine,negative,映画化,外部要因・映画化,映画化に関する不満が述べられているため。
92,おすすめしない,603,ミルティオつえーーーｗｗｗｗｗｗｗｗｗｗｗｗｗ　じゃんけんの方がまだ戦略性あるぞｗｗｗ,negative,戦略性の欠如,ゲームシステム,ジャンケンのほうが戦略性があると言及しているため。
93,おすすめしない,134,開始の手札で8割勝敗が決まります,negative,開始の手札,ゲームシステム,開始の手札が勝敗を大きく左右するため、運要素が強すぎるため。
94,おすすめ,347,宝箱最悪だったけど、一つになってめっちゃやりやすくなってよかった。バトルパスも進むのでかなり快適になった,positive,バトルパス,ゲームシステム,バトルパスの進捗が快適になったため。
95,おすすめ,261,"リアントース消してくれ
面白くない
きもいしぶすだし",negative,きもい,演出・グラフィック,「きもい」という表現から、ゲームのビジュアルに不快感を感じているため。
96,おすすめ,180,わるくねえ,neutral,ボリューム,ボリューム・価格,「わるくねえ」という表現から、ゲームの内容に明確な評価が示されていないため。
97,おすすめしない,164,"得意とする戦法がすべて不愉快なリーダー
壁とやっててください

本当につまらないゲーム",negative,リーダー,ゲームシステム,リーダーとの戦闘が不快であるため。
98,おすすめ,302,キャラが可愛い。それだけで良いと、僕は思うんです。,positive,キャラが可愛い,その他,キャラクターの可愛さがゲームを肯定的に評価する要因となっているため。
99,おすすめしない,436,普通に不快になるごみげー,negative,不快感,その他,「不快になるごみげー」という表現から、ゲーム内容にネガティブな感情を抱いていることがわかるため。
100,おすすめしない,166,今シーズンは過去最悪の3弾よりクソの可能性がある、プロが調整してるは流石に噓すぎる,negative,調整,ゲームシステム,調整の質について不満を述べているため。
