番号,判定,総プレイ時間(時間),レビュー本文,AI感情判定(Ollama),具体的な要因,要因の分類,AIによる分析理由
37,おすすめしない,1,"[h1]HAWKENの皮を被った劣化BORDER LANDS[/h1]

[b]【良かった点】[/b]
[list]
[*]HAWKENブランドをリブートしたこと。
[*]ソロでも楽しめる。
[*]鉄臭い兵器を乗り回してバリバリ撃ち合える。敵を倒せば弾薬も落ちるので弾切れの心配はあまり無い。
[*]撃破されてもその場でリトライ可。
[*]パーツ素材を集めての兵器開発要素あり。マップ内にもいくつか落ちており探索する楽しみはあるっちゃある。
[*]無料としてなら遊べる範囲。
[/list]

[b]【悪かった点】[/b]
[list]
[*]HAWKENブランドである必要性が乏しい事。
[*]全体的にUI/UX面が稚拙。ウェイポイントが非常に見失いやすい上に見つけにくい、コクピットの内装とGUIの位置がまったく噛み合わず把握しにくい（内装類のグラフィックは完全なお飾りでむしろ邪魔）、レーダーに敵味方の位置以外何も映っていない（地形はおろか高低差さえ教えてくれない）、ダメージを受けても視覚的なエフェクトは一切無い、割と広いのにマップが存在しない、アイコンの形状の違いに説明がない……など盛り沢山。
[*]MHのようにクエストを受けてから出撃する関係上、いつも同じような所からスタートするためステージごとの変化が掴みにくい。内容も基本的に一本道。（ストーリーモード時）
[*]ドロップしたアイテムが弾薬なのかシールドなのか資源なのか拾うまで全く分からない。
[*]ウェイポイントから一定範囲を超えるとミッション失敗になるにもかかわらず、肝心の範囲は表示されない。（ストーリーモード時。領域から出そうになったら警告は出る）
[*]↑に関連して、マップの各地に回収可能な資源が点在しているにも関わらずどこにあるかは目視で探すよりほかなく、見えない範囲制限のせいで迂闊に採りにも回れない。
[*]アクティブスキルのような要素は現状無し。
[/list]

素材や世界観は良いけれど、実際のプレイアビリティに対するブラッシュアップがまるで足りていない印象。
致命的ではないが無視もできないレベルの粗がそこかしこで目に付いてしまい、ゲームに没入したくても没入しにくく感じる。

ストーリーモードはステージ方式にしている割にはモンハンよろしく毎回同じような拠点から出発するため見た目の変化が少なく新鮮味に乏しい。
加えてクリアするためには、これまたモンハンの素材回収クエの様に目標を達成した後でわざわざスタート地点へUターンを強いられる始末。
テンポが悪いことこの上ない。その場でリザルトでも十分だろうに。

また、ウェイポイントを厳しく守らせる一方でマップに資源を点在させて自由探索を促すような造りにもしていて、ゲームとしてのコンセプトが一貫していないようにも感じる。
…ひょっとして当初はオープンワールド制のつもりで作っていたのに途中で方針が変わったのだろうか？

追記：パトロールモードは実質オープンワールドモード。恐らくこちらがメインモードなのだろうが、アンロックするためにはストーリーモードを進めていく必要がある。


他にも、人間サイズの敵に照準を合わせるのが現在のマウス感度やアシスト具合では厳しかったり、ダメージを受けても分かりにくくいつの間にかシールドが剥げていたり、そもそも2本あるゲージのどっちがシールドでどっちが本当の耐久力なのか識別しにくかったり、敵機撃破時のドロップアイテムや点在する資材の視認性も非常に悪かったり、どうやって回収するかも今一つ把握しにくかったりする。（上に乗るか撃って破壊すると回収できる）

…無料のインディーゲームとしてならばまだ目を瞑ろうという気にはなるが、生憎これはHAWKENブランドの後を継いだ久方ぶりの新作である。
操作感は元より前作で問題なく果たせていたことまで今作では悉く劣化しているため、このままの出来では流石に落胆せざる得ない。

幸い、まだ早期アクセス段階のα版も良い所な状況だけに、今後の修正や改善に期待する事は出来る。
折角の名作の系譜、どうにか腐らせずに見事『復活』を果たして欲しい。",negative,劣化,ゲームシステム,操作感や前作で問題なく行われていた要素が劣化しているため。
38,おすすめしない,0,おれのしってるほーけんではなかった………,negative,期待外れ,その他,「おれのしってるほーけんではなかった」という表現から、期待していた内容とは異なる点に失望していることがわかるため。
39,おすすめしない,0,"テレビくんと炊飯器どこいったの？というか豆粒の人間と戦うゲームだったの？
普通にSiegeやりたかったんだが！！マ　ル　チ　は　未　実　装

バチクソ見にくいUIと設定
銃器が熱量管理から残弾数管理になり、常に左と右クリック押しっぱの脳筋ゲー
自分でリペアできる仕様も廃止",negative,UI・設定,演出・グラフィック,バチクソ見にくいUIと設定であるため。
40,おすすめしない,2,"not hawken this is whyken
いろんな意味で劣化している悲しみ
今時個人製作でももうちょっとマシでわ？なLv
今後に期待…したいなぁ…",negative,劣化,その他,ゲームの質が低下していることを嘆いているため。
41,おすすめしない,0,"毎朝通りがかるたびにシッポ振ってハッハッ言ってた近所の犬が亡くなって「もっと飼い主さんと話したり可愛がってやればよかったのかも…」と思ってたら
何者かの手によって死体がツギハギのフランケンシュタインになり視点がどこかも定まらないような無惨な状態でゴミ捨て場を漁るノラ犬になってるのを見てしまった

みたいな気持ち


自分自身ライトに遊んでたなと思うのでHAWKENを深く愛し、狂うほどやりこんでいたかと言うと自信はないが、それでもチーズおろし器に乗って暴れまわったりするのは好きだった…
クソデカインパネに表示されるアビリティやら、寄せては返す波のように攻めたり修理の為に逃げたりを繰り返し押し引きする流動的な前線が好きだった…

「PvEだしアーリーアクセスのものに期待しすぎてはいけない。本作にそういうのはないだろう」と覚悟していたが、それでもキツかったな
バイタルやFUELといった重要なUIが画面端にアサインされており見づらいことや、ダッシュの挙動がいきなりワープして減速する謎な物で画面が一瞬飛ぶ
基本的に敵として出てくる重量・中量・軽量機にあまり差はなくせいぜい体力バーの長さくらいしか違いはない
謎のシールド制により、いったん身を隠してリペアといった頭脳プレーなどはなくKamikazeじみてバカ凸してくるメックたちに対して一気にシールド削って装甲を溶かすのをひたすら繰り返す戦闘
チマチマと狙いにくいわりに死後もモデルが棒立ちで残っており紛らわしい敵歩兵などかなりストレスが…(ってか毒ガスが充満してて徒歩じゃロクに活動できないからスクラップで無理矢理メック作って乗ってんじゃなかったっけ俺たち……)

アーリーアクセスだし、元の開発チームではないのではじめからあまり色々ケチをつけるのは酷だ、開発者を育てるように見守るべきだ……と頭ではわかっているし、メックのカスタマイズ要素なども結構頑張っているので一旦落ち着いて静観したいところだが
実際これをHAWKENとしてお出しされるとキッツい…このシステムでPvP実装されてもやりたくないよ………という感情になる部分は否定できない

将来性に期待して待たせていただきたいが、いま現在の出来としては厳しいものがある
ツギハギにするのはシャトルの燃料タンクとかだけで十分だよ…",negative,戦闘システム,ゲームシステム,敵の種類が少なく、シールド制により頭脳プレーが難しく、カマカミ戦法しかなくストレスを感じたため。
42,おすすめしない,1,"[h1] マウス感度3000倍 [/h1]

※前作未プレイの人間がsteamdeckでプレイした感想です
ゲーム内の感度設定とsteamdeckのコントローラー設定を両方とも調整してようやく視点操作がまともにできるようになる。それくらいピーキー。逆にそれ以外の操作は特に問題なく動きます。

個人的に一番気になったのはUIのレイアウトです。HPとブースト残量が上側、左右武器の残弾数とレーダーが下側と画面上下に別れている上に小さいので視認性が悪い。豆粒みたいな歩兵と戦いながら自機の状況を把握しようとすると、視線が右往左往する羽目になる。

あと、まともにコントローラー対応してないのはどうかと思う。",negative,視点操作,ゲームシステム,マウス感度が非常に高く、設定調整が必要なためプレイに支障をきたす。
43,おすすめしない,0,"カメラの操作感が前作と全く違っていてプレイする気になりませんでした。

前作は普通のFPSと同様の操作性でしたが
今作はマウスでゲームを遊んだことがない人が作ったような操作感です。",negative,操作感,ゲームシステム,前作とは異なる、不慣れな操作感がプレイ意欲を減らしたため。
44,おすすめしない,0,"前作未プレイの素人が作った駄作。おすすめしない。
HAWKENの続編としてというより、単純にシングルプレイのアクションシューターとして糞。

・退屈なダイアログが終わるまで待たされたり、とろいNPCのケツを追わされるなど眠くなる進行。
・レベルは細々した通路と足場で構成されていてアクションと相性が悪い。ライティングも雑で砲台などの敵が背景に埋もれ、プレイアビリティを損なっている。そしてロケーションは美しくない。
・ミッションの内容は無意味な移動と脈絡なく湧く敵の処理を繰り返すだけで面白みがない。
・敵は基本的に人間の群れで、このちまちまとした標的にだらだらと弾をばらまくだけの戦闘体験。
・マガジン容量が小さくリロードが隙になるのでできれば無駄弾を撃ちたくないのだが、バグか仕様か敵が1秒遅れで死ぬためどうしたって無意味に数秒撃ち続けざるを得ずイラつく。
・醍醐味であるロボット型の敵は無能AIでただのサンドバッグ。総じて戦闘に駆け引きなんてものはなく、強烈な作業感の引き立て役になっている。
・ダッシュはガクッとワープしたような挙動になっていて自分が混乱するだけなので使いどころがない。
・UIは改悪されていてHP、スタミナ、残弾数といった重要な情報が画面の端の方に隠されている。
・大したグラフィックでもないのに60FPSしか出ないし、何なら30FPSくらいまで下がることがある。

このゲームのどこを楽しめば良いか分からないし、PvEでIPを復活させるにあたって開発者がどこに勝算を見出したのかも理解できなかった。",negative,戦闘体験,ゲームシステム,敵が1秒遅れで死ぬバグか仕様により、無駄に数秒撃ち続けざるを得ないなど、戦闘の駆け引きがなく作業感があるため。
45,おすすめしない,0,"日本語がない。

という時間が解決する問題はさておき、

前作HAWKENはAdhesive Gamesによって開発されたが、スタッフ間に何らかの問題が起き当時のパブリッシャーMeteor Entertainment及び開発元が倒産している。その後Reloaded Gamesによって買収されたが皆の知る通り中核スタッフの抜けた無理矢理の延命治療となっただけである。

後にコンシューマー版は505 Gamesがパブリッシングを担当している。

HAEKENの顔、TV君の影も形も無い。

このゲームは俺達が熱狂した初代HAEKENの皮を被った偽物だ。戦争だ、我々にはそれが必要だ。諸君とはルビコンの地で再開することになるだろう。まがい物に用はない。",negative,中核スタッフの抜けた無理矢理の延命治療,外部要因・映画化,開発元やパブリッシャーの問題により、初代HAEKENとはかけ離れたゲームになったと述べているため。
46,おすすめ,23,"[h1] 初代Hawkenとは全くの別物 [/h1]


まず、第一に初代Hawkenの目玉とも言える要素
・異様に作りこんであるコックピット
・独特の世界観からくる美麗なマップ
・軽快ながらずっしりとしたMechの重量を感じる独特の挙動
・上記の要素からくる没入感
これらの再現が出来ていないと感じております。

また、射撃のエフェクトやヒットエフェクト等もわかりづらく
歩兵やビットのような小型の敵への対処が非常につまらないと感じました。

クイックダッシュの挙動もラグなのか何なのか
初動の加速時に画面が飛ぶようにカクつくような見え方。
慣れればいいんですが作りが甘いようにも感じます。

ストーリー及びパトロールどちらのモードでも強く感じたのが
「どこに行けばいいのか分かりづらい」という事です。
せめてレーダーに方角だけでも表示されれば、と何度思った事か。


ただし悪い事だけではありません。


[b]この手のゲームとしては異様に軽い[/b]

と、私は思いました。

倒した敵の残骸等を即座に消失させているおかげなのか
ストーリー、パトロールどちらも「重いな」「カクつくな」と感じませんでした。

初代Hawkenのあの独特の世界観をこの軽快なシステムに落とし込めることができれば
化ける、と感じています。

パトロールモードの突発的なミッション開始は中々に面白く、滞在時間の経過によって
敵が強くなっていくという所も楽しい所です。

まだ開始してから一週間もたっておらず、アーリーアクセスの第一段階としては
こんなものかな、と思えますので「今後に期待」という所だと思います。",positive,軽快なシステム,ゲームシステム,敵の残骸を即座に消失させているため、ストーリーやパトロールモードが重く感じない。
47,おすすめ,4,"まだゲームのコアの部分が公開された段ですので断定的なことは言えませんが、手触りとしては割とよい物だと思います。
（もちろん今後さらによくなっていくものでしょう）
ロードマップによると前作で登場したmechにも乗れるようになるとのことなので、ゆっくりと待ちたいと思います（テレビくんに乗りたい）。",positive,手触り,ゲームシステム,レビュー者は「手触りが割とよい」と感じているため。
48,おすすめしない,0,"画面全体に1/4しか表示されてなくて画面右下が照準になっててまともにプレイできなかった
オプションとかも開けないし直せなかったから残念でした",negative,操作性,ゲームシステム,画面表示や操作性の問題により、まともにプレイできなかったため。
49,おすすめしない,7,"「フィードバックはDiscordで」と言って運営は（悪評が目立っていた）フォーラム上の投稿をすべて削除し、事実上フォーラムを閉じました。
なぜそんなことをする必要が？",negative,フォーラム閉鎖,外部要因・映画化,運営によるフォーラムの閉鎖がユーザーからの不満を招いているため。
50,おすすめ,1,"アプデされてるのか感度はマシになっていた。
ロボゲーとしてはかなりアクションを楽しめる印象。
特にジャンプダッシュからの高速バニホが気に入った。
ダッシュの慣性を常にジャンプすることで維持できるわけだけど、
始まりと維持が簡単で、方向も空中時にダッシュすればすぐに変えれる簡単さが良い。
簡単な高速機動というのはアーマードコアに通ずる。癖は凄いが。
ダッシュの妙な瞬間移動感が嫌な人はオートランの方でも可能。

問題はそれを想定しているのかどうか。

というのも、このゲームのマップ構造は確かに高速移動が欲しくなるように作られているが、
狙い撃ったように戦闘エリアだけ狭かったり障害物が露骨に多くてバニホ機動がしにくい。
中には不可能なほど狭いエリアもある。
狭いほどバニホを使いこなせたカタルシスも高まるだろうが、
もしバニホを想定してたらこんなマップで戦わせようなんて考えるだろうか？",positive,ジャンプダッシュからの高速バニホ,ゲームシステム,ジャンプダッシュからの高速バニホが非常に気持ち良いと表現しているため。
51,おすすめしない,2,"とにかく単調。
いくらハクスラ要素あるとはいえロボゲーなのに最初はまったくビルドを組めない
UIが劣悪でコックピットが飾りでしかない
何よりもロボ同士の重厚な戦闘を期待していたら実際はむしろ歩兵をプチプチ潰すばかりで爽快感が皆無",negative,UI,ゲームシステム,使い勝手の悪いUIとビルドの組めない仕様が、期待していたロボ同士の戦闘とはかけ離れた体験に繋がったため。
52,おすすめしない,14,"レビューでも前作との比較や、GUIの不便さ、
アクション面などは既に書き尽くされています。
そういった部分に目を瞑って遊ぶ場合の批評をしたいと思います。

まずは当たり判定などの処理が全てクライアントではなく
サーバーに依存している点について。
このゲームは利益を出す部分がいわゆる
課金専用貨幣（機体や装備の現物購入やフリーモードでの復活に使用）です。
課金通貨や機体性能などのデータ改ざんを防ぐためとはいえ、
現時点でソロゲーなのに敵が１秒遅れて倒れて行く様は大変にストレスです。
ただでさえ小粒の敵が多く視認性が最悪なのに、
倒した敵に無駄弾を吐いてしまい、
何ならラグドール化した死体が残り続けることもあります。
要所でサーバーと通信、他はクライント処理にして欲しい物です。

次は成長要素です。
現状ではパトロール（フリーモード）に赴き、
敵を倒したり、コンテナなどの物資オブジェクトを破壊して素材を集め、
その集めた素材を元に地道に機体と装備を強化していく訳です。

さて、このパトロールは
１．アイテムを取る　　２．時間経過　　３．敵を倒す
この３つの行動でどんどんエリアランクが上昇して敵が強力になるとともに
獲得できる素材のランクも向上します。
そう、つまり上位ランクの装備を作るための上位素材を集めるのに、
いちいちいちいちパトロールの出向いてエリアランクを上げる必要があるのです。
しかも、結構なペースでエリアランクが上昇するため、
上位素材が落ち始めるようになった頃には敵の攻撃がとても強力になります。
死ぬと集めた素材を全て失ってしまうため、適当なところで切り上げねば成りません。
パトロールにいってはだらだらランクを上げて、
目的の素材が落ちるように成ったら迫る死に怯えながら素材収集する。
このゲームデザインは大変宜しく無いと思います。

極めつけは武器の制作や強化に大量に使う素材が
オブジェクトからしか入手できないくせに、
そのオブジェクトの数がかなり少ないです。
武器素材オブジェとその他の割合は２：８くらいだと思います。

ということで色んな武器を作って試すなんてことはできないので、
真っ先にレーザー銃を作って強化して下さい。
実弾系の武器はエリアランクが上昇した敵相手には
とても弾が持ちません。
弾を拾いに行くことが難しい場面も多々あるのでやってられません。
米粒どもをランチャーで始末したい気持ちは良くわかりますが、
レーザー銃を大優先で作って下さい。",negative,ゲームデザイン,その他,パトロールでの素材集めとエリアランク上昇のシステムや、武器素材入手量の少なさなどが挙げられているため。
53,おすすめしない,2,"今作は実質【HAWKEN 2 】
リボーンと銘うったせいで大本のHAWKENが遊びたかった人たちからすると、コレジャナイ感に襲われて
評価が下がっていますのもやむなし。
現状ソロのみのPvEですが、いずれマルチ協力とかができてくると変わってくるかも？

あえてHAWKEN２と割り切ってこの世界の物語をわかりやすく進めてくれるのは楽しいかもしれない。
せめて日本語字幕対応をお待ちしております。
しかしてまだアーリーアクセス、問題点が結構ありますがこれからの改善が望めます。

・ジャンプやダッシュがワンテンポ遅れる
これは仕様なのかドッジがやりにくくて困る。
あと距離が長すぎて飛ぶというより吹っ飛んでしまう感じ。

・UIが見づらい
前作では武器は熱管理でポインタの脇に映るので管理しやすかったものの、今作では弾数制で表示は画面の下側で弾数が見にくい。
なお熱のように時間経過よりもリロードで済むのでここは楽になりました。
そしてブーストやホバーの燃料表示が真ん中に出ない、ドッジにエネルギーが必要に対しピンチの時に回避できなくて焦ると燃料がカツカツだったことにやっと気づいたりするので困りました。

・修理ドローンが使えない代わりに時間経過で回復するシールド制になりました。
はい、これもゲージが機体耐久と同じく画面の上ギリギリに配置なので見ずらいです。

・初期のマウス感度が強すぎて制御しにくい
こんなに激しく旋回はメックの性質上厳しいだろって程ぐるぐるします。
重厚感が薄まったという意見はこれもあるのかと。

・パーツ製造のコストが全体的に高い気がします。
基本金属と弾薬しか落とさないような敵が多い中で
敵メックとかをボスを倒さないと、入手が難しいアイテムを結構要求されるのが地味に面倒です。しかも序盤武器

・機体固有のアビリティはありません。
そうです、撃って跳ねるだけになりました。

なお拡張性は機体固定装備から他機種に武器や武装が装着でき、それぞれ強化できるのは新要素
今後機体が増えていくなら拡張性が上がって面白くなっていくころをお待ちしてます。
ひとまずは様子見させていただきます。",negative,UIが見づらい,ゲームシステム,表示位置が分かりにくく、操作に支障をきたす要素が多い。
54,おすすめしない,0,REBORNつけんなHAWKENの皮被ったpvemmoみたいなゲーム,negative,皮被った,その他,他のゲームと比較して、表面的な要素しかなく本質がないことを批判しているため。
55,おすすめしない,1,"良かった点
・メックを操縦できる

悪かった店
・オプション各種が音声周りのみ変更可能その他変更不可（オプションを弄っても反映されていない）
・シングルゲームなのにラグがそこそこ酷い
・ジャンプ・ドッジ・ブーストなどのレスポンスが悪く爽快感が無い
・敵NPCのメック・ドローンの挙動がワンパターンでシングルゲームも相まって作業感が酷い
・敵NPCの人間は不要と感じた
・修理がなくなりHPとシールドに分かれてシールドは自動回復だがHPの回復手段が無い
総論
今までのHAWKENとは似て非なる何か・・・
早期アクセスゲームなのでこれからに期待だが改善点はかなり多い。
現状おすすめはしない　8月のアーマードコアをプレイしよう。

PS.　古のHAWKEN民なのでIP復活はありがたいが楽しいゲームには無いっていない。早期で出すにも早かったのでは？",negative,レスポンス悪さ,ゲームシステム,ジャンプ・ドッジ・ブーストなどのレスポンスが悪く爽快感が無いと述べているため。
56,おすすめしない,0,"触って3秒でわかるようなバグが放置されてる
直すとは言ってるけどさすがにテストプレイすらしてないのではと思うほどに
不安しか残らない
数か月後に思い出して触ってみるくらいがちょうどいいかもね",negative,バグ,ゲームシステム,レビューでは、ゲーム内のバグが放置されていると指摘し、テストプレイすらされていないのではないかと不安を感じているため。
57,おすすめ,10,"HAWKENの世界観を使っているが洗練されたメカシューターというよりSTALKERやそれに近い構成の後続のMMOにメックを乗せた感じ。ストーリーミッションと自由探索のパトロールモード（The Cycleとかを緩くしたイメージ）を介して資源を集め戦闘でレベルを上げて強化をアンロック、拾った設計図で装備を増やしていく。ゲームの一番最初の体験版程度のコンテンツがあり、オンラインは未実装。

v0.1だしFtPなので酷評する段階ではないと思うが、やはりUIがよくないのと、小型の敵がちょこまかしすぎているうえ結構痛い攻撃をしてくるのが混じってたりするのがQoLを下げているのに加え、ファンが多いので通常の3倍ぐらい辛口で不評がついてしまってると思われる。
敵が多いのに対して初期装備のSMGからショットガンやグレネードなどに換装するのに時間がかかる、というのもプレイヤーの時間を要求するMMO的デザインの悪い点で、序盤のプレイ感を下げてしまっている。


初日以降の不評なセンシ設定などにはすでにパッチが当たっているが、戦闘中一時停止できずビデオ設定もハンガーに入るまでいじれないのに最高設定で開始するのが致命的なラグの原因になっていて、リロードが完了せず一方的に撃たれたりすることがある。チュートリアル後真っ先に下げよう。

色々不安要素もあるが、単体で評するならインディー作品やオンラインゲームのアプデをいくつか見て来た自分としては最初はこんなもんだろ、という範囲だと思う。現状を積極的におすすめする感じではないが、コンテンツが増えて序盤の武器選択、敵やマップ構成を改善していけば普通に遊べる作品にもなると思うので今後を見守りたい。
（そもそもPvPからPvEMMOへというのは設計の形式が大きく変わってしまっているので、炎上防止のためにAPEXのようにHAWKENの名前を前面に出さずに、スピンオフとして提示するべきだったのかもしれない。）


一つ大きなデマが流れているのが「課金で装飾じゃなく実用パーツを買わされる」というもので、これは通常のMMOと同様にゲーム内で設計図や素材を発見して装備を製作するものを課金でスキップできるようになってるだけ、という全く普通のシステムであり、せっかちな人が勘違いしている可能性が高い。

また資源は敵からドロップするほか白くハイライトされるスクラップや鉱石を撃ったり踏んだりして破壊することで収集する。パトロールモードではスタート地点のポータルにインタラクトして自分が帰る前に、一番上の転送ボタンで資源を先に保管する必要があるのを忘れずに。",positive,今後の見込み,その他,コンテンツ増加や序盤改善の可能性を期待しているため。
58,おすすめしない,0,"HAWKENの死体が転がっていたので、その死体でゾンビを作ってみた代物。
ゾンビなので生前の姿はある程度保っているものの、当然亡骸が動いているだけなので実態としては全く違う。
改めてHAWKENは終わってしまったんだなと実感した。

◆良い点
・懐かしの機体が操作できる。
・PvEなので人が居なくなっても遊べると思う。
　しかし難易度は一人で遊ぶには心許ない調整にされてしまっている。

◆悪い点
・UIが劣悪
　オプションを触るためにはTABキーを押して横からスライドしてくるメニューを開くが、メニューを開いてもフリーカーソルにならないので一々ウィンドウの選択状態を解除した上でポチポチとオプションを触らないといけない。この儀式を終えなければ、爆音に晒され続ける。
・グラフィックが良くない(アセットのクオリティが低い)
　PSPかと思った。
・初期機体はまさかのAssault
　BruiserやRoketeerが好きだったのでこれらも買えるかと思いきや、パーツは全部バラ売りらしい。
・インタラクトしているかがわかりにくい
　これもUIの劣悪さに含まれるが、とにかく全体的に不便でわかりにくい。

◆総評
冒頭でも書いた通り、これはHAWKENの死体で作ったゾンビだと思う。
一人称ロボットゲームとしてコクピットに乗り込んでいる感のあるUIは無くなり、機体ごとのアビリティや愛嬌のあるリペアドローンは消え、モソモソと動いていたメック達はスライド移動の如く軽やかに闊歩するようになった。
熱管理の必要ない武器は左右のマウスボタンを押し込んで敵が爆発するまで待つだけになり、グラフィックはPSP用ゲームかと見紛うほどのクオリティとなった。
単にHAWKENとしてのプレイフィールが再現されていないだけなら良いのだが、ゲームとしてのクオリティの低さが目立つため「HAWKENという名前でなければ面白かった」というレビューすら出来ない。",negative,グラフィック,演出・グラフィック,PSP用ゲームかと見紛うほどのクオリティの低さから、ネガティブな感情を抱いている。
59,おすすめしない,1,"HAWKENっぽくないのはみんな書いてるので割愛

とりあえず
・[strike]マウスセンシがなんかバグってる（高感度の状態で低くできない？反映されない？）[/strike]
　　↑ 一応直ったけどまだ設定幅が微妙
・ダッシュなどの速度変化操作を行うと画面が飛ぶ
・HP、スタミナゲージなどが上にあるから見にくい
・逆にミニマップ（ソナー）は情報がほぼ無いのに見やすい位置に配置されている
・Fインタラクションが出てる&押されてるのか分かりにくい（押した感じがもっさりしてる）
という部分を改善してくれれば普通にプレイ出来る感じです

～追記～

先日HAEKENを久々に触ってきたので大きく気になる部分を抜粋
・ダッシュやもろもろの速度周りがかなり早いのでスタイリッシュもどきになってしまってる（重厚感が無い）
・上に付随してダッシュバニホすると慣性が乗って高速移動可能
・全体的に軽い
・射撃がオーバーヒートタイプではなく基本リロードするタイプとなっている（HAEKENで自分が使ってたのが少なくともみんなオーバーヒートだったのと、REBORNでは初期がリロードなので進めたらこの違和感はなくなるのかも）
・射撃がなんか軽い（なんか軽い）
・自己修復が無く、ダメを一定時間回避でシールド回復タイプ（ボダランとかそこらへんみたいな感じ）

UIも搭乗席のモニターなどに映す感じで表記して欲しいなって感じ",negative,操作性,ゲームシステム,マウス感度やダッシュ操作など、操作性の問題点が挙げられているため。
60,おすすめ,15,"前作は未プレイ
ボロクソに言われてるが無料のゲームでここまで遊べるなら十分と感じる、実際結構面白い
パトロールのミッション内容のバリエーションの多さは他のロボゲーより多いと感じました
アーリーアクセスのゲームなので今後に期待",positive,バリエーションの多さ,ゲームシステム,パトロールのミッション内容のバリエーションが多いと評価しているため。
61,おすすめしない,9,"HAWKENの名を継いだ色々と惜しい別ゲー。

前作はPvPだったものがPvEになったのが最も大きいがそれ以外の点も別物と言っていい。
では別物と理解した上でゲーム単体として出来が良いかというとそういう訳でもない。

ゲームバランスは調整不足の極みであり、最もおかしいのはいわゆる[b]『慣性ジャンプ』[/b]。
ステップの速度を維持したままジャンプするという割とありがちなテクニックだがこれがとにかくヤバい。
このゲーム何故かホバーしないジャンプであればブースト消費が無く、[b]ステップの消費のみ[/b]で[b]追加の高速移動[/b]が可能。
そして[b]敵AIのエイムは正確であるもののその速度には限界がある[/b]。
つまり[b]敵の周りを跳ね回りながら撃ちまくる[/b]ことがこのゲームの最も強い戦闘スタイルとなる。
前作の重めな動きどころか、OWのトレーサーの方が操作感は近い。

ついでに着地直後の減速効果もかなり緩くジャンプ中は当然のようにゲージ回復するので、長距離移動もステップ1回+ジャンプループで無限に高速移動し続けられる。
スプリント機能とか使うだけ無駄である。かわいそう。

武器は照射レーザーほぼ一択レベル。
ライフルより射程が長くSMGより対面DPSが高い、他の武器と違い弾数無限と至れり尽くせり。
オーバーヒート時の冷却が長めという欠点はあるもののそれ以外の全てがおかしい。
ジワジワ削っている途中に時折ゴリッと削れる瞬間があるためおそらく文字通り『壊れている』のだろう。
もちろん敵の照射レーザーもこの挙動で異常な削りが入るため、赤いビームが見えたら死ぬ気で逃げないと耐久ゲージ余裕ある状態から即死するぞ。

バッタ撃ちしてるだけで戦闘に負ける要素がほぼ無い崩壊気味のバランスと前作の要素が少ない現状で、このゲームだけの魅力というのは見出しづらいと思う。
あと初期機体が電子レンジ君じゃなくていっぱいかなしい。",positive,慣性ジャンプ,ゲームシステム,敵のエイム速度に限界があるため、敵の周りを跳ね回りながら撃ちまくる戦闘スタイルが強力だから。
62,おすすめしない,3,"ブーストジャンプがとても気持ちいいですがそれだけです
現状ではアビリティも無く機体に弱点があるわけでもないただ延々とダメージレースするだけなので虚無虚無プリン
HAWKENを騙らなければ見向きもされなかったであろう珠玉の逸品です",negative,虚無感,ゲームシステム,ダメージレースしかなく、アビリティや機体の弱点がないため、レビュー者は「虚無感」を感じている。
63,おすすめ,30,"新しい無料のバトルメックゲーとしては
★★★★★★☆☆☆☆　６点

HAWKENの続編としてみた場合は
★★☆☆☆☆☆☆☆☆　２点　



恐らくこのHAWKEN rebornに期待して触った方の殆どが、前作の無印版 HAWKENを遊んだ事のある方が多いと思います。
ホーケン・リボーン？なにそれって思った方は別に良いんですが。
前作を知っている人は間違いなく思っているであろう感想は

「これは　HAWKEN 　では　ない！」

で合ってますよね？

で、じゃこのホーケンじゃないホーケンモドキのゲーム自体は面白いのか面白くないのか？って現時点で言える事は出始めなんでそんなに言える事はないのですが。

全くの別ゲー（バトルメックゲーム）として見たら、無料にしてはまーまーなんじゃない？って思います。
ただ途中で鉄騎のスカーフェイスをフェラーリの奥山清行さんがリデザインしたようなデザインのメックが出てきた時はビビったよねｗ

まーこのデザインに関しても言える事が、HAWKENは下手にカッコつけたデザインのメックでなく無骨で男臭いメックがダサカッコ良かったんだよ！　なんでちょっとカッコつけたメック追加したんだよ、他の新しいメックのデザインに不安が。。

前作HAWKENも完璧なゲームではなかった為、過疎化が進み結局steamではサービス終了と。だからできたら完璧でなかったゲームシステムを一新してくれればなーって思ってましたが、全くの別ゲーとして復活させたようです。

ロボット系ゲームは好き嫌いが別れやすいので、うまく収益に繋げていくのが難しいジャンルと言われています。
だからなのか、前作でもド渋いUIが徐々にカジュアルに見やすい物へと変更され幅広いユーザー層向けにしたと思われますが、
そもそもこのゲームに興味を持って手を出した人間はカジュアルな要素なんか求めていないと思うんですが、違いますかね。

今回のリボーンもUIがカジュアルでとてもシンプルな作りとなっているので、メカメカしくてゴチャゴチャして分かりにくい！って感じる人はいないと思います。自分はメカメカしくゴチャついてる方が搭乗した気分になれて良かったんですけどね。

操作性も前作よりクセが少ないです。触り心地もカジュアルだなーｗ
とりあえずアプデで今後どうなるか期待してみましょう。",positive,シンプルUI,ゲームシステム,カジュアルなUIは分かりやすく、メカメカしくゴチャゴチャした方が搭乗した気分になれるという意見もあるが、シンプルな作りになっているため、多くの人が操作しやすいと感じている。
