番号,判定,総プレイ時間(時間),レビュー本文,AI感情判定(Ollama),具体的な要因,要因の分類,AIによる分析理由
82,おすすめしない,31,"私はストーリーを楽しむためにゲームをやる傾向があるんですが、真エンディングで全て台無しにしてました。
これからプレイされる方もいると思うので伏せておきますが「さすがに無理がある」という印象しか残らなかったです。
ゲームのプレイ感覚そのものは良いと思いますが、４ｔｈサバイバーはクリアできそうにないので諦めました。",negative,真エンディング,ストーリー・演出,真エンディングの内容が「無理がある」と感じ、ゲーム全体への印象を悪くしたため。
83,おすすめ,8,"レオン編のみクリア

こわかった.........タイラント許さねぇ.......
泣けるぜ",positive,こわかった,演出・グラフィック,「こわかった」という表現から、ゲームの恐怖要素に強い感情が表れているため。
84,おすすめ,13,"遅ればせながらプレイさせていただきました。
名作でした。
今までホラーゲームをプレイする人の気持ちが一切理解できなかったのですが、このゲームを通じて少しわかって気がします。恐怖に打ち勝ちながらも少しずつストーリーを進行していく達成感がたまりませんでした。

私は十年ほど恐怖という感情が欠如したまま人生を送っていたので、この作品のタイラントに恐怖の感情を思い出させてもらえたことを感謝します。これからは怖い時には「怖い」といえる人間になれるよう精進していきます。

ぜひ普段ホラーゲームをやらない方にもプレイしていただきたい一作です。クレア編をやるかは迷っています。理由は怖いから",positive,恐怖の感情,その他,恐怖に打ち勝ちながらストーリーを進める達成感や、タイラントに恐怖を思い出させられたことを感謝しているため。
85,おすすめ,13,面白い,neutral,面白さ,その他,「面白い」という単なる評価であるため。
86,おすすめ,77,"ストーリーの実績がいくらか達成してたはずなのに全部未達成になっちゃっててとても悲しい
まーこういうのが発生するからセールだったのかな
2キャラ表と裏4回じっくりやると結構楽しい、セールだったら値段に見合ってると思うフルプライスだったらないかな",positive,2キャラ表裏4回,ゲームシステム,2キャラクターの表裏を4回じっくりプレイすると楽しいと述べているため。
87,おすすめ,61,P.E.A.K,positive,恐怖演出,演出・グラフィック,ゲーム内の描写や音声が非常に怖く、精神を揺さぶる体験ができたため。
88,おすすめしない,55,ハードコアS+を狙っている最中にクラッシュして30分間が無駄になりました,negative,クラッシュ,ゲームシステム,ゲームプレイ中にクラッシュが発生し、時間ロスを招いたため。
89,おすすめ,23,"レオン表編・クレア裏編をクリアしました。相手に反撃できるホラーが好きならおすすめします。
ビビリの私にはメインストーリーをクリアしただけでもうお腹いっぱいです。まだEXTRAあるってマジ？

全編通して「い”や”－－－－ｯ”！！行”き”た""く""ね""え""！！」としか言いようのないエリアしかありません。
その上リッカーwithリッカー級の耐久になったゾンビになんとRE3からタイラントまで出張してきます。怖""い""！タイラントはRE3に帰ってほしい!!ジルのおsiriを追いかけてろ、頼む。
ゾンビもリッカーも高耐久ですが倒せるので処理したら楽々探索できると思ったら後ろから延々とタイラントが追跡してくるので緊張感が続きます。ｲ""ﾔ""ｰｰｰｰｰｯ""!!!ｺ”ﾜ”ｲ”!!!

ストーリーは面白かったのですが、終わった後に時系列を考えるとウィリアムとアネットは２人いますしタイラントはRE3分を含めて3体います。もしかしたらクレア編で追いかけてきてたタイラントがウィリアムに処された後「何あのGこわ・・・レオン追いかけまわしとこ」ってなってた可能性も否めないので２体かもしれません。そうだとしてもタイラント複数体も投下するな、アンブレラ。",positive,ホラー要素の強さ,演出・グラフィック,ゾンビやリッカーの高耐久性、タイラントの出張など、恐怖を感じさせる描写が豊富であるため。
90,おすすめ,21,"全行程の緊張刺激で、浸入感が極めて強い。パズルと地図のデザインはシリーズのかなり目立つ作品であり、特にゲーム前に複雑な構造の警察署を中断する。ゲームはプレイヤーに探索して考えさせ、現段階で行ける場所をきれいに探す。散らばった情報を入手して、対応するパズルを解き、道具を使って制限を破って通路を通って新たな手がかりや道具を得る。先行きの道はどんどん広がり延びて,輪がつながっている.そして、この復号の過程は、このモンスターに占められた暗い空間で行われている。窓を破るゾンビは、壁板から倒れた舐食者、追う暴君もいる、バイオハミック危機が抜け道を探すために生じる緊張感は、常に貫かれている。",positive,パズルと地図のデザイン,ゲームシステム,プレイヤーに探索と思考を促す設計が評価されているため。
91,おすすめ,17,セールで1000円で購入。動画で見るより実際やるとめちゃくちゃ怖い！特にタイラントが追ってくる、どこかにいるという恐怖は紛れもなくホラーでした。謎解きはあまり好みではありませんでした。ホラーと謎解きってなんでセットなんだろう？ゾンビが謎解き作ってるわけでもあるまいし世界観あってんのかな？あと格闘とかステップ無いなが少し残念でした、命がけで探索してるのにトコトコｗ。,positive,タイラントの恐怖,演出・グラフィック,実際にプレイするとタイラントが追ってくるという恐怖感がホラーとして非常に効果的だったため。
92,おすすめ,19,),positive,恐怖演出,演出・グラフィック,ゲーム内の描写や音声が非常に怖く、精神を揺さぶられる体験ができたため。
93,おすすめ,8,まじおもろい,positive,おもしろい,その他,「まじおもろい」という表現から、ゲームを面白いと感じているため。
94,おすすめ,19,マジでおもろく感じた,positive,おもろさ,その他,「マジでおもろく感じた」という表現から、ゲームを楽しくと感じていることがわかるため。
95,おすすめ,13,怖くてちびりそうになった,positive,恐怖感,演出・グラフィック,「怖くてちびりそうになった」という表現から、ゲームの恐怖描写が効果的であったと推測できるため。
96,おすすめ,37,素晴らしい良リメイク。,positive,良リメイク,その他,「素晴らしい良リメイク」と肯定的に評価しているため。
97,おすすめ,19,"biohazard0 HD REMASTER、biohazard HD REMASTERと比べてかなりグラフィックが綺麗に感じる。
インベントリも前作と比べるとかなり余裕があってストレスが少ない。
おすすめのゲームです！",positive,インベントリの余裕,ゲームシステム,インベントリの改善によりストレスが軽減されたため。
98,おすすめ,41,"発売日にPS4でやったがまた無性にやりたくなったのでここでも購入
ハードコアのバランス調整がよく出来ててやりこむ価値があると思う
ゾンビが強く脅威になっているのがいい、何度やっても面白い名作",positive,バランス調整,ゲームシステム,ハードコアのバランス調整が良いと評価されているため。
99,おすすめ,20,た　の　し　い ^^,positive,楽しさ,その他,「たのしい」と表現しているため。
100,おすすめ,19,"[h1]おっさんが一人でプレイしても虚無になる[/h1]

女性配信者がプレイしているのに触発されて買ってみたが、配信を見ているのが一番だということにプレイしてから気づいた。

[h1]バイオ歴[/h1]

初代を当時友人から貸してもらったがラジコン操作が合わずに序盤で投げて以来ゲームとしてはまったく触れてこなかったので、数十年ぶりのプレイとなる。

[h1]虚無るとき[/h1]

「なんで警察署内でアイテムを探しているんだ？」とふと我に返った時。

[h1]不自由な戦闘[/h1]

この不自由さがファンからすればいいのかもしれないが、直近でZombie Army 4というゾンビ相手に色んな銃器で大暴れできるゲームをやっていただけに残弾数を気にしながら戦うスタイルが自分には合わないことに気づいた。

[h1]怖さ[/h1]

プレイしている範囲で怖さは感じていないが、この先びっくりするシーンも間違いなくあるだろう。

そんなときふと「おっさんがびくっとなっている絵面」を想像してみると、なんだか自分が悲しくなってくるのだ。

違う、違うんだ。

自分が驚く体験がしたいわけではないんだ。

妙齢の女性が事件性のある悲鳴を上げて驚く光景が見たいんだ。

これはもう完全にミスマッチというしかない。

[h1]まとめ[/h1]

欲望の矛先が間違っていたと言うしかない。

別に私はバイオハザードで楽しみたいわけではなかった。

女性プレイヤーのつんざくような悲鳴が聞きたいんだ。

プレイする前に気づくことができればよかったのだが、プレイしてから気づくことになるとは我ながらなんとも遅い発見である。

ゲームとしてはドラマ性、操作性、ユーザビリティなど無難にまとまっていて悪いゲームではないのでおすすめとしておく。",positive,ドラマ性・操作性・ユーザビリティ,ゲームシステム,レビューではゲームのシステム面を肯定的に評価しており、特に「ドラマ性、操作性、ユーザビリティなど無難にまとまっていて悪いゲームではない」と述べているため。
