番号,判定,総プレイ時間(時間),レビュー本文,AI感情判定(Ollama),具体的な要因,要因の分類,AIによる分析理由
91,おすすめ,1005,"めちゃめちゃおもろいし横マイクラってイメージあるかもだけどもっと弾幕アクションとか戦闘寄り
武器もいっぱいあってMODもやったらとまらん

キーバインドのバグはctrl+alt+delで治せます",positive,戦闘寄り,ゲームシステム,戦闘要素が充実しているため。
92,おすすめしない,12,このゲームはsteamで友達とプレイしようとするとタイルデータのダウンロードでプレイすることのできないソロゲーです　金返せ,negative,タイルデータのダウンロード,ゲームシステム,友達とプレイできない仕様のため、購入者から不満の声が上がっている。
93,おすすめ,25,まあまあかな。,neutral,ボリューム,ボリューム・価格,「まあまあ」という表現から、ゲームの内容に満足していない様子が伺えるため。
94,おすすめ,171,good,neutral,good,その他,「good」のみで感情が明確に読み取れないため。
95,おすすめ,80,"めっちゃ面白すぎて泣く
某マイクラの数百倍は面白い(個人的的な意見)",positive,ボリューム,ボリューム・価格,「某マイクラの数百倍は面白い」と表現しているため。
96,おすすめしない,36,"キー割り当て行っただけで左クリックできなくなってESCとか押してもキー割り当てから脱出できないの草
別にMod使わなくても十分楽しいしSwitch版に戻りますわ",negative,キー割り当て,ゲームシステム,キー割り当て操作の問題でゲームプレイが不能になったため。
97,おすすめ,1055,何回プレイしても楽しい、一旦クリアしたとしてもそのたびに新しいワールドでやり直せるし度重なるアップデートでどんどん快適になる,positive,アップデート,ゲームシステム,何度も遊べる要素とアップデートによる改善点が挙げられているため。
98,おすすめ,656,テラリアだいちゅき,positive,ボリューム,ボリューム・価格,「テラリアだいちゅき」という表現から、ゲームに強い好意を抱いていることがわかるため。
99,おすすめ,110,よろし,positive,自由度,ゲームシステム,どんな世界を作れるか、自由に遊べる点が魅力だと述べているため。
100,おすすめ,93,"装備が整ってくると、敵を倒すのもピッケルで掘り進めるのもサクサク進んでとにかく気持ちいいです！
自由度が高い反面、次に何をすればいいか迷うこともありますが、攻略サイトを参考にしながら進めれば詰まることなく最後まで楽しめました。アクションと探索が好きなら間違いなくおすすめの一本です。",positive,サクサク進む,ゲームシステム,敵を倒すのも掘り進めるのもスムーズで気持ちいいと表現しているため。
